Plot,Abundance
1,218
2,120
3,113
4,169
5,149
6,72
7,145
8,235
9,75
10,119
11,112
12,28
13,57
14,54
15,81
16,133
17,46
18,49
19,76
20,86
21,59
22,75
23,77
