Plot,GroupedTreeSpecies,Treedata.Tree_Decay,Treedata.DBH_cm ,,
10,NA,NA,NA,,
11,2,2,52,,
11,2,3,19,,
11,2,3,42,,
11,2,3,55,,
11,2,4,25,,
11,2,3,52,,
11,2,3,22.5,,
11,2,4,22,,
11,2,4,17,,
11,2,2,32,,
11,2,3,51,,
11,2,3,34,,
11,2,2,84,,
11,2,4,12,,
11,2,3,88,,
11,2,2,7,,
11,2,2,18,,
11,2,4,47,,
11,2,2,9,,
11,1,2,7,,
11,1,2,9.5,,
11,2,4,37,,
11,1,2,49,,
11,1,3,35,,
11,2,2,10,,
11,2,2,45,,
11,2,2,19.5,,
11,2,4,27,,
11,2,3,16,,
11,2,2,9.5,,
11,2,5,77,,
11,2,2,80,,
11,2,5,40,,
11,2,4,15.5,,
11,2,3,22,,
11,2,2,40,,
11,2,5,26,,
11,2,3,38,,
11,2,3,12,,
11,2,4,25,,
11,2,4,26,,
11,2,5,15,,
11,2,4,12,,
11,2,4,20,,
11,2,2,35,,
11,2,4,30,,
11,2,2,45,,
11,2,4,30,,
11,2,4,57,,
11,2,2,43,,
11,2,3,38,,
11,2,2,53,,
11,2,2,8,,
11,2,5,42,,
11,2,3,12.5,,
11,2,3,20,,
11,2,3,13,,
11,2,3,20,,
11,2,4,17,,
11,2,3,29,,
11,2,3,10.5,,
11,2,2,76,,
11,2,5,24,,
11,2,2,33,,
11,2,3,38,,
11,2,3,28,,
11,2,3,28,,
11,2,3,21,,
11,2,3,38,,
11,1,2,14,,
11,1,2,7.5,,
11,2,4,35,,
11,1,2,7.5,,
11,2,2,11,,
11,2,3,82,,
11,2,3,50,,
11,2,2,25,,
11,2,3,9.5,,
14,1,3,8,,
14,1,4,9,,
14,1,4,40,,
14,1,4,22.5,,
14,1,3,49,,
14,1,3,7.5,,
14,2,4,10,,
14,2,4,18,,
14,1,3,9.5,,
14,1,4,9.5,,
14,2,2,7.5,,
14,2,3,11,,
14,1,2,16,,
14,1,2,7.5,,
14,2,3,10.5,,
14,2,3,8,,
14,2,4,8,,
14,2,3,18.5,,
14,2,3,8,,
14,2,3,12,,
14,2,3,15,,
14,2,2,13,,
14,1,2,25.5,,
14,2,2,13,,
14,1,3,9,,
14,2,3,7.5,,
14,2,2,7.5,,
14,2,3,10.5,,
14,2,2,7.5,,
14,2,3,32.5,,
14,2,4,11.5,,
14,2,2,10,,
14,2,2,9,,
14,2,2,11,,
14,2,4,17,,
14,2,1,11,,
14,2,2,10,,
14,2,3,8,,
14,2,3,13,,
14,2,3,8,,
14,2,3,11,,
14,2,2,16,,
14,2,2,15,,
14,2,4,14,,
14,2,3,9,,
14,2,2,10.5,,
14,2,3,7.5,,
14,2,2,8,,
14,2,3,18,,
14,2,4,11,,
14,2,2,8,,
14,2,3,10,,
14,2,2,16,,
14,2,4,9.5,,
14,2,3,9.5,,
14,2,4,9,,
14,2,5,9.5,,
14,2,4,14.5,,
14,2,3,7.5,,
14,2,2,10.5,,
14,2,2,13,,
14,2,2,9.5,,
14,2,2,17,,
14,2,2,13,,
14,2,2,10.5,,
14,2,2,27.5,,
14,1,4,10,,
14,2,2,12,,
14,2,4,9.5,,
14,2,3,27.5,,
14,2,3,8.5,,
14,1,4,12.5,,
14,2,2,7.5,,
14,2,2,19,,
14,2,3,10,,
14,2,2,25,,
14,2,3,16,,
14,2,4,23,,
14,2,3,29,,
14,2,3,7.5,,
14,2,4,9,,
14,2,3,13.5,,
14,2,3,29,,
14,2,3,9,,
14,2,2,14.5,,
14,2,3,8,,
14,2,2,13,,
14,2,3,8,,
14,2,3,34.5,,
14,2,3,13,,
14,2,3,8,,
14,2,3,11,,
14,2,3,9,,
14,2,4,7.5,,
15,2,3,52,,
15,2,4,30,,
15,2,3,50.5,,
15,2,4,13.5,,
15,2,3,76.5,,
15,2,4,41.5,,
15,2,4,8.5,,
15,2,3,95,,
15,2,4,13,,
15,2,4,66,,
15,2,3,14.5,,
15,2,3,13,,
15,2,2,59.5,,
15,2,4,18.5,,
15,2,3,11,,
15,2,4,9,,
15,2,2,70.5,,
15,2,4,7.5,,
15,2,3,49.5,,
15,2,4,60,,
15,1,3,10,,
15,NA,NA,NA,,
15,2,3,77.5,,
15,2,3,96.5,,
15,2,5,55,,
15,2,4,15,,
15,2,3,58.5,,
15,2,4,35.5,,
15,2,3,67,,
15,2,3,8.5,,
15,1,3,18.5,,
15,2,4,33.5,,
15,2,3,9.5,,
15,2,3,19.5,,
15,2,2,7.5,,
15,2,4,11.5,,
15,2,3,15,,
15,2,3,9.5,,
15,2,3,51.5,,
15,2,3,53,,
15,2,3,53.5,,
15,2,4,40,,
15,2,3,53.5,,
15,2,4,30.5,,
15,NA,NA,NA,,
16,1,1,53,,
16,1,1,15,,
16,1,1,7.5,,
16,1,2,10,,
16,1,1,10.5,,
16,1,2,11,,
16,1,2,8,,
16,1,5,NA,,
16,1,2,47,,
16,1,2,15,,
16,1,2,7,,
16,1,3,11,,
16,1,3,15,,
16,1,4,15.5,,
16,1,2,8.5,,
16,2,4,62,,
16,1,1,24,,
16,1,1,10,,
16,1,1,8,,
16,1,1,10,,
16,1,1,9,,
16,1,2,20,,
16,1,2,9,,
16,1,1,8.5,,
16,1,1,9.5,,
16,1,1,14,,
16,1,2,10,,
16,2,2,11.5,,
16,2,4,31.5,,
16,2,1,7.5,,
16,2,1,7,,
16,2,1,8.5,,
16,2,4,32,,
16,1,2,14,,
16,1,1,17,,
16,1,1,13.5,,
16,1,1,30,,
16,1,2,16.5,,
16,1,1,11,,
16,1,1,20.5,,
16,1,4,21,,
16,1,1,15.5,,
16,2,1,36.5,,
16,1,1,9,,
16,2,2,31,,
16,2,2,33.5,,
16,2,2,38,,
16,2,3,17.5,,
16,2,5,16,,
16,2,4,18.5,,
17,2,4,16,,
17,2,3,48,,
17,2,5,38,,
17,2,3,50,,
17,2,3,45,,
17,2,3,47,,
17,2,2,50,,
17,2,3,16.5,,
17,2,3,53,,
17,2,2,9,,
17,2,2,11,,
17,2,3,33,,
17,2,3,15.5,,
17,2,3,11,,
17,2,3,11,,
17,2,5,31,,
17,2,4,42,,
17,2,2,60,,
17,2,3,42,,
17,2,2,8,,
17,2,3,8,,
17,2,4,25,,
17,2,2,14,,
17,2,3,18,,
17,2,3,50,,
17,2,3,27,,
17,2,3,18,,
17,2,2,65,,
17,2,3,11.5,,
17,2,4,27,,
17,2,5,40,,
17,2,4,30,,
17,2,2,57,,
17,2,4,7.5,,
17,2,2,76,,
17,2,3,65,,
17,2,4,22,,
17,2,4,22,,
17,2,4,25,,
17,2,3,60,,
17,2,3,20,,
17,2,3,22,,
17,2,3,23,,
17,2,3,33,,
17,2,2,12.5,,
17,2,2,17,,
17,2,2,13,,
17,2,3,13.5,,
17,2,4,16,,
17,2,2,23.5,,
17,2,2,22,,
17,2,3,53,,
17,2,2,54,,
17,2,2,13,,
17,2,2,30,,
17,2,2,70,,
17,2,2,32,,
17,2,2,40,,
17,2,2,32,,
17,2,3,10.5,,
17,2,2,50,,
17,2,5,26,,
18,2,3,23,,
18,2,2,42,,
18,2,2,7.5,,
18,2,2,10.5,,
18,2,4,46.5,,
18,2,4,26,,
18,2,2,20,,
18,2,5,13.5,,
18,2,5,12.5,,
18,2,3,49,,
18,2,3,16.5,,
18,2,3,17.5,,
18,2,3,23,,
18,2,4,27,,
18,2,3,15,,
18,2,3,10,,
18,2,2,9,,
18,2,4,32.5,,
18,2,3,29.5,,
18,2,3,48,,
18,2,3,13,,
18,2,3,33,,
18,2,3,27,,
18,2,4,41.5,,
18,2,3,33.5,,
18,2,4,10,,
18,2,2,21,,
18,2,3,51,,
18,2,3,9,,
18,2,2,53.5,,
18,2,2,79,,
18,2,3,60,,
18,2,3,19,,
18,2,3,10,,
18,2,3,14,,
18,2,3,24,,
18,2,5,29,,
18,2,2,60,,
18,2,2,8.5,,
18,2,3,55,,
18,2,2,9,,
18,2,1,64,,
18,2,3,19,,
18,2,3,12.5,,
18,2,2,18,,
18,2,3,77.5,,
18,2,2,11,,
18,2,2,80,,
19,NA,NA,NA,,
19,1,4,17,,
19,1,2,14.5,,
19,NA,NA,NA,,
19,2,3,12,,
19,2,2,85,,
19,1,4,31,,
19,2,2,45.5,,
19,1,3,10.5,,
19,1,3,16.5,,
19,1,3,28.5,,
19,1,2,22.5,,
19,2,3,69,,
19,1,3,12,,
19,1,2,9.5,,
19,1,2,21.5,,
19,2,4,41,,
19,2,2,38.5,,
19,2,4,34,,
19,2,3,54.5,,
19,2,3,45,,
19,2,3,29,,
19,2,3,49,,
19,2,3,29.5,,
19,2,4,10.5,,
19,2,3,57,,
19,2,3,77,,
19,1,3,11,,
19,1,3,33,,
19,2,3,7,,
19,1,3,11,,
19,1,3,16,,
19,NA,NA,NA,,
20,2,2,12.5,,
20,2,3,11.5,,
20,2,4,17.5,,
20,2,2,15.5,,
20,2,3,30,,
20,2,2,13.5,,
20,2,2,13,,
20,2,3,38,,
20,2,3,25,,
20,2,3,17.5,,
20,2,4,15,,
20,2,3,30,,
20,2,3,35,,
20,2,3,27.5,,
20,2,2,45,,
20,2,5,38,,
20,2,2,40,,
20,2,3,9,,
20,2,3,49,,
20,2,2,60,,
20,2,3,52,,
20,2,4,22,,
20,2,3,13,,
20,2,2,58,,
20,2,2,7,,
20,2,2,50,,
20,2,2,10,,
20,2,3,10.5,,
20,2,3,11,,
20,2,5,18,,
20,2,5,27,,
20,2,4,17,,
20,2,4,53,,
20,2,4,36,,
20,2,3,46,,
20,2,3,15,,
20,2,4,15,,
20,2,3,15,,
20,2,4,20,,
20,2,2,11,,
20,2,4,33,,
20,2,3,25,,
20,2,2,40,,
20,2,5,15,,
20,2,2,60,,
20,2,2,40,,
20,2,2,47,,
20,2,4,30,,
20,2,4,30,,
20,2,2,61,,
20,2,3,50,,
20,2,3,12,,
20,2,4,25,,
20,2,3,38,,
20,2,2,33,,
20,2,4,41,,
20,2,3,47,,
20,2,3,42,,
20,2,4,26,,
20,2,3,25,,
20,2,3,22,,
20,2,3,35,,
20,2,3,30,,
20,2,3,48,,
20,2,5,36,,
21,2,5,16.5,,
21,2,3,12.5,,
21,2,4,24.5,,
21,2,1,59.5,,
21,2,4,25,,
21,2,5,31.5,,
21,2,5,38,,
21,2,3,45,,
21,2,1,7,,
21,2,4,28,,
21,1,1,30,,
21,2,1,33,,
21,2,4,51,,
21,1,3,10,,
21,2,1,13,,
21,2,4,46,,
21,2,3,11,,
21,2,1,15,,
21,2,4,25,,
21,1,2,18.5,,
21,2,4,28,,
21,2,4,73,,
21,2,4,41,,
21,2,4,41,,
21,2,3,54,,
21,2,2,57,,
22,2,2,38.5,,
22,2,4,14.5,,
22,2,4,18,,
22,2,2,42.5,,
22,2,2,38,,
22,2,5,47,,
22,2,5,6,,
22,2,4,23,,
22,2,2,32,,
22,2,4,23.5,,
22,2,4,24,,
22,2,2,9.5,,
22,2,2,9,,
22,2,3,8.5,,
22,2,4,12,,
22,2,5,14,,
22,2,3,35,,
22,2,3,12,,
22,2,3,11,,
22,2,4,36.5,,
22,2,3,10.5,,
22,2,2,10,,
22,2,2,50.5,,
22,2,3,29.5,,
22,2,4,22,,
22,2,4,21,,
22,2,2,39.5,,
22,2,4,16,,
22,2,3,23,,
22,2,3,23.5,,
22,2,3,15,,
22,2,3,9,,
