Group.1,Rotholes,InsectGalleries,ExposedSapwood,ExposedHeartwood,PerennialFungi,Ephermalfungi,Epiphytes,DeadwooodShelter,StumpStructures,LogStructures,WoodyDebris,ExposedRoots,WoodpeckerCavities,Concavities
Decay stage 1,0.24,0.04,1.48,0,2.44,0,0.8,0.04,0,0,0,0,0.04,0.32
Decay stage 2,0.1171875,0.3125,1.84375,0,0.390625,0.046875,0.578125,0.1484375,0.0390625,0.109375,0.015625,0.0859375,0.0078125,0.1171875
Decay stage 3,0.229299363057325,0.165605095541401,1.35668789808917,0.0764331210191083,0.509554140127389,0.0828025477707006,0.878980891719745,0.490445859872611,0.127388535031847,0.484076433121019,0.146496815286624,0.0509554140127389,0.0254777070063694,0.114649681528662
Decay stage 4,0.144144144144144,0.018018018018018,1.14414414414414,0.00900900900900901,0.189189189189189,0.045045045045045,1.12612612612613,0.621621621621622,0.315315315315315,0.198198198198198,0.144144144144144,0.027027027027027,0.00900900900900901,0.297297297297297
Decay stage 5,0.0803571428571429,0.0267857142857143,1.08035714285714,0.0625,0.0357142857142857,0,1.15178571428571,0.517857142857143,0.625,0.339285714285714,0.205357142857143,0.0535714285714286,0,0.330357142857143
