Group.1,x
A. alba Log/Entire Tree,A. alba Log/Entire Tree
A. alba Stump,A. alba Stump
Broadleaf Log/Entire Tree,Broadleaf Log/Entire Tree
Broadleaf Stump,Broadleaf Stump
Conifer Log/Entire Tree,Conifer Log/Entire Tree
Conifer Stump,Conifer Stump
F. sylvatica Log/Entire Tree,F. sylvatica Log/Entire Tree
F. sylvatica Stump,F. sylvatica Stump
No ID Log/Entire Tree,No ID Log/Entire Tree
No ID Stump,No ID Stump
P. abies Log/Entire Tree,P. abies Log/Entire Tree
P. abies Stump,P. abies Stump
