Group.1,x
A. alba Log/Entire Tree,NA
A. alba Stump,NA
Broadleaf Log/Entire Tree,NA
Broadleaf Stump,NA
Conifer Log/Entire Tree,NA
Conifer Stump,NA
F. sylvatica Log/Entire Tree,NA
F. sylvatica Stump,NA
No ID Log/Entire Tree,NA
No ID Stump,NA
P. abies Log/Entire Tree,NA
P. abies Stump,NA
