Group.1,x
A. alba Log/Entire Tree,15
A. alba Stump,0.5
Broadleaf Log/Entire Tree,17
Broadleaf Stump,0.5
Conifer Log/Entire Tree,12
Conifer Stump,1.3
F. sylvatica Log/Entire Tree,18
F. sylvatica Stump,1
No ID Log/Entire Tree,17
No ID Stump,0.8
P. abies Log/Entire Tree,20
P. abies Stump,1.3
