Group.1,WoodpeckerCavities,Concavities,Rotholes,InsectGalleries,ExposedSapwood,ExposedHeartwood,PerennialFungi,Ephermalfungi,Epiphytes,DeadwooodShelter,StumpStructures,LogStructures,WoodyDebris,ExposedRoots
A. alba Entire Tree,0.285714285714286,1.28571428571429,0.142857142857143,0.571428571428571,2.14285714285714,0.571428571428571,0,2,0.142857142857143,0.285714285714286,0.142857142857143,0.285714285714286,0.285714285714286,0
A. alba Log,0.102564102564103,0.641025641025641,0.230769230769231,0.128205128205128,0.974358974358974,0.384615384615385,0,1.76923076923077,0.0256410256410256,0.0512820512820513,0.153846153846154,0.230769230769231,0.0256410256410256,0
A. alba Stump,0,0.333333333333333,0.166666666666667,0,0.916666666666667,0,0,1,0,0.333333333333333,0.416666666666667,0,0.25,0.166666666666667
F. sylvatica Entire Tree,0,0.428571428571429,0.142857142857143,0.428571428571429,1.71428571428571,0.142857142857143,0,9.28571428571429,0.714285714285714,0.142857142857143,0,0,0,0
F. sylvatica Log,0.119047619047619,0.261904761904762,0.404761904761905,0.214285714285714,0.857142857142857,0.30952380952381,0,1.76190476190476,0.166666666666667,0.214285714285714,0.19047619047619,0.0952380952380952,0.0476190476190476,0
F. sylvatica Stump,0,0.0810810810810811,0.0810810810810811,0.027027027027027,1.21621621621622,0,0,1.08108108108108,0.216216216216216,0.540540540540541,1.02702702702703,0.0810810810810811,0.216216216216216,0.189189189189189
P. abies Entire Tree,0.0821917808219178,0.602739726027397,0.0821917808219178,0.424657534246575,1.54794520547945,0.246575342465753,0,1.28767123287671,0.287671232876712,0.36986301369863,0.136986301369863,0.493150684931507,0.0547945205479452,0
P. abies Log,0.0588235294117647,0.453781512605042,0.0504201680672269,0.26890756302521,1.15126050420168,0.109243697478992,0,0.848739495798319,0.184873949579832,0.19327731092437,0.109243697478992,0.218487394957983,0.134453781512605,0
P. abies Stump,0,0.192660550458716,0.0642201834862385,0.238532110091743,1.44036697247706,0.0091743119266055,0,1.07339449541284,0.155963302752294,0.339449541284404,0.201834862385321,0.018348623853211,0.0275229357798165,0.302752293577982
