Group.1,x
A. alba Log/Entire Tree,7
A. alba Stump,7
Broadleaf Log/Entire Tree,4
Broadleaf Stump,5
Conifer Log/Entire Tree,7
Conifer Stump,6
F. sylvatica Log/Entire Tree,7
F. sylvatica Stump,7
No ID Log/Entire Tree,4
No ID Stump,6
P. abies Log/Entire Tree,8
P. abies Stump,7
