Group.1,WoodpeckerCavities,Concavities,Rotholes,InsectGalleries,ExposedHeartwood,PerennialFungi,Ephermalfungi,Epiphytes,DeadwooodShelter,StumpStructures,LogStructures,WoodyDebris,ExposedRoots
Decay stage 1,1,3,6,12,2,0,79,2,1,0,0,0,3
Decay stage 2,3,41,14,107,5,0,116,21,20,5,13,3,7
Decay stage 3,19,47,22,1,35,0,233,26,58,24,47,17,10
Decay stage 4,1,59,15,0,14,0,127,25,19,34,9,14,25
Decay stage 5,0,47,9,0,18,0,117,26,38,71,20,13,17
