Plot,Abundance
1,5.89189189189189
2,4.28571428571429
3,3.89655172413793
4,4.69444444444444
5,3.31111111111111
6,3.78947368421053
7,5
8,4.51923076923077
9,4.41176470588235
10,3.83870967741935
11,3.86206896551724
12,3.5
13,3.5625
14,6
15,4.26315789473684
16,6.33333333333333
17,5.11111111111111
18,4.08333333333333
19,4.47058823529412
20,4.3
21,3.93333333333333
22,4.16666666666667
23,4.52941176470588
