Plot,Richness
1,141
2,87
3,88
4,109
5,100
6,60
7,109
8,135
9,50
10,85
11,92
12,26
13,40
14,41
15,65
16,77
17,34
18,37
19,62
20,64
21,43
22,57
23,58
