Group.1,WoodpeckerCavities,Concavities,Rotholes,InsectGalleries,ExposedSapwood,ExposedHeartwood,PerennialFungi,Ephermalfungi,Epiphytes,DeadwooodShelter,StumpStructures,LogStructures,WoodyDebris,ExposedRoots
A. alba Entire Tree,0,0,0.428571428571429,0.571428571428571,2.71428571428571,0,0.857142857142857,0.142857142857143,0.428571428571429,1,0,1.14285714285714,0.428571428571429,0.142857142857143
A. alba Log,0.0512820512820513,0.0256410256410256,0.256410256410256,0.256410256410256,1.1025641025641,0.0256410256410256,0.948717948717949,0.0769230769230769,0.794871794871795,0.435897435897436,0,0.512820512820513,0.128205128205128,0
A. alba Stump,0,0.166666666666667,0.166666666666667,0,0.916666666666667,0,0,0,1,0.5,0.833333333333333,0,0,0
F. sylvatica Entire Tree,0,0,0.142857142857143,0,2.14285714285714,0,8.42857142857143,0,1.28571428571429,0.571428571428571,0,0.142857142857143,0,0.285714285714286
F. sylvatica Log,0,0.0476190476190476,0.476190476190476,0.142857142857143,1.07142857142857,0.119047619047619,0.761904761904762,0.0476190476190476,0.880952380952381,0.333333333333333,0.0714285714285714,0.357142857142857,0.142857142857143,0.0714285714285714
F. sylvatica Stump,0,0.27027027027027,0.0810810810810811,0.027027027027027,1.16216216216216,0.027027027027027,0.0540540540540541,0.0810810810810811,1.21621621621622,0.243243243243243,1.35135135135135,0,0,0
P. abies Entire Tree,0,0,0.164383561643836,0.36986301369863,1.95890410958904,0.0821917808219178,0.602739726027397,0.0958904109589041,0.63013698630137,0.589041095890411,0,0.780821917808219,0.164383561643836,0.0958904109589041
P. abies Log,0.0420168067226891,0,0.0840336134453782,0.168067226890756,1.42016806722689,0.0504201680672269,0.168067226890756,0.0420168067226891,0.705882352941177,0.478991596638655,0,0.277310924369748,0.201680672268908,0.100840336134454
P. abies Stump,0,0.651376146788991,0.0642201834862385,0,1.36697247706422,0,0.110091743119266,0.018348623853211,1.09174311926605,0.376146788990826,0.357798165137615,0,0.018348623853211,0.0275229357798165
