Group.1,WoodpeckerCavities,Concavities,Rotholes,InsectGalleries,ExposedHeartwood,PerennialFungi,Ephermalfungi,Epiphytes,DeadwooodShelter,StumpStructures,LogStructures,WoodyDebris,ExposedRoots,ExposedSapwoodReduced
Decay stage 1,1,8,6,1,0,61,0,20,1,0,0,0,0,25
Decay stage 2,1,15,15,40,0,50,6,74,19,5,14,2,11,129
Decay stage 3,4,18,36,26,12,80,13,138,77,20,76,23,8,60
Decay stage 4,1,33,16,2,1,21,5,125,69,35,22,16,3,18
Decay stage 5,0,37,9,3,7,4,0,129,58,70,38,23,6,9
