,Mean TreM abundance,Mean TreM richness,,,,
Broadleaf stumps,4.56,3.54,,,,
Coniferous stumps,3.94,3.07,,,,
Broadleaf downed deadwood,5.39,3.18,,,,
Coniferous downed deadwood,4.50,3.08,,,,
