Group.1,x
A. alba Log/Entire Tree,6
A. alba Stump,6
Broadleaf Log/Entire Tree,4
Broadleaf Stump,5
Conifer Log/Entire Tree,6
Conifer Stump,4
F. sylvatica Log/Entire Tree,9
F. sylvatica Stump,5
No ID Log/Entire Tree,4
No ID Stump,4
P. abies Log/Entire Tree,9
P. abies Stump,7
