Group.1,x
A. alba Log/Entire Tree,16
A. alba Stump,6
Broadleaf Log/Entire Tree,7
Broadleaf Stump,6
Conifer Log/Entire Tree,10
Conifer Stump,8
F. sylvatica Log/Entire Tree,44
F. sylvatica Stump,8
No ID Log/Entire Tree,4
No ID Stump,6
P. abies Log/Entire Tree,19
P. abies Stump,12
