Group.1,x
A. alba Log/Entire Tree,59.7
A. alba Stump,75
Broadleaf Log/Entire Tree,49.8
Broadleaf Stump,54.3
Conifer Log/Entire Tree,70
Conifer Stump,80
F. sylvatica Log/Entire Tree,57.5
F. sylvatica Stump,79
No ID Log/Entire Tree,39
No ID Stump,105
P. abies Log/Entire Tree,73.5
P. abies Stump,125
